iter	RMSE
0	0.4562484115
1	0.4094158889
2	0.3754624445
3	0.3485630431
4	0.3291501875
5	0.315509577
6	0.3035438093
7	0.2947982422
8	0.2875757632
9	0.2809935999
10	0.2757684944
11	0.272134056
12	0.2686351659
13	0.2655520602
14	0.2627565919
15	0.2597481349
16	0.2578099206
17	0.254474476
18	0.252813682
19	0.2506146411
20	0.2489643929
21	0.2474623959
22	0.2457895814
23	0.2444245192
24	0.2427965092
25	0.2414255335
26	0.240473637
27	0.2394848475
28	0.2378668512
29	0.2368025154
30	0.235535949
31	0.2336447707
32	0.23278273
33	0.231791219
34	0.2308483669
35	0.2298724132
36	0.2290615301
37	0.227975865
38	0.2269205207
39	0.2261859808
40	0.2254173373
41	0.2243627439
42	0.2234375848
43	0.2226984642
44	0.2219987546
45	0.221029588
46	0.2205826504
47	0.2200231667
48	0.2193089314
49	0.2184947903
50	0.2179249225
51	0.2171754701
52	0.2165521187
53	0.2161030755
54	0.2155982261
55	0.2150723948
56	0.2144438398
57	0.2140434533
58	0.2136185464
59	0.2128770187
60	0.2123249881
61	0.2114840964
62	0.2108132878
63	0.2101406306
64	0.2095825603
65	0.2090165608
66	0.2083902191
67	0.2078396384
68	0.2071228862
69	0.2065256354
70	0.2060770843
71	0.2057007397
72	0.2053940363
73	0.2050074206
74	0.2046609919
75	0.2042527633
76	0.2039791265
77	0.2036898863
78	0.2031978896
79	0.2026954491
80	0.2022822818
81	0.2017382168
82	0.2014978389
83	0.2010206003
84	0.2005295834
85	0.2001288041
86	0.1998207147
87	0.1993985511
88	0.1988868378
89	0.1983471246
90	0.1980986404
91	0.1975883172
92	0.1972583653
93	0.1969609733
94	0.196495759
95	0.1962111297
96	0.1957259151
97	0.1953951701
98	0.195061482
99	0.1946757774
