iter	Passed	Remaining
0	5	521
1	11	563
2	15	503
3	19	471
4	23	452
5	27	428
6	30	409
7	34	402
8	38	392
9	41	375
10	44	360
11	47	348
12	50	338
13	53	329
14	56	320
15	59	312
16	62	303
17	65	296
18	68	290
19	70	283
20	73	277
21	77	273
22	80	268
23	83	264
24	86	259
25	89	254
26	92	249
27	95	245
28	98	241
29	101	237
30	104	233
31	107	229
32	110	225
33	113	220
34	116	216
35	119	212
36	122	208
37	125	204
38	128	200
39	131	197
40	134	193
41	137	189
42	140	185
43	142	181
44	146	178
45	149	175
46	152	171
47	155	168
48	158	164
49	161	161
50	164	157
51	167	154
52	169	150
53	172	147
54	175	143
55	178	140
56	181	137
57	185	134
58	188	131
59	191	127
60	194	124
61	197	121
62	200	118
63	204	114
64	207	111
65	210	108
66	213	105
67	216	101
68	219	98
69	222	95
70	224	91
71	227	88
72	230	85
73	233	82
74	236	78
75	239	75
76	242	72
77	245	69
78	249	66
79	252	63
80	254	59
81	257	56
82	260	53
83	263	50
84	266	47
85	269	43
86	272	40
87	275	37
88	278	34
89	281	31
90	284	28
91	288	25
92	291	21
93	293	18
94	297	15
95	300	12
96	303	9
97	307	6
98	310	3
99	313	0
